WardCode,WardName,Borough,type1_count,type2_count,type3_count,population,area_km2,pop_density,type1_density,type2_density,type3_density
E05011226,Falconwood & Welling,Bexley,632,1266,325,16589,3.2605500000000003,5087.791936943153,193.83232890156566,388.2780512490224,99.67643495729247
E05011227,Longlands,Bexley,324,331,73,10070,1.88689,5336.824086194744,171.71112253496494,175.42093073788087,38.68799983040877
E05011228,Northumberland Heath,Bexley,498,452,207,11180,1.71374,6523.743391646341,290.5925052808477,263.75062728301845,120.7884509902319
E05011229,St Mary's & St James,Bexley,349,557,116,10786,8.746559999999999,1233.170526469835,39.90140123660045,63.682179050964045,13.262356858010465
E05011230,Sidcup,Bexley,884,1216,287,15450,3.98964,3872.5298523175024,221.57387633971987,304.7894045578047,71.93631505599502
E05011231,Slade Green & Northend,Bexley,943,764,310,12698,5.54256,2290.9991051066654,170.13798677867268,137.84244103807626,55.93083340550215
E05011232,Thamesmead East,Bexley,1115,1124,364,15803,5.1439200000000005,3072.1706402898953,216.7607583321669,218.51039674022923,70.76315339274328
E05011233,West Heath,Bexley,371,521,101,15968,2.37499,6723.396730091496,156.21118404709074,219.3693447130304,42.526494848399366
E05011234,Aldborough,Redbridge,873,1295,247,15496,8.49914,1823.243292850806,102.71627482309974,152.3683572690884,29.06176389611184
E05011235,Barkingside,Redbridge,580,681,147,15377,1.6298,9434.899987728557,355.87188612099646,417.8426800834458,90.1951159651491
E05011236,Bridge,Redbridge,540,619,169,13347,3.45207,3866.3758266779064,156.42788240099418,179.31270223373224,48.95613356623707
E05011237,Chadwell,Redbridge,886,925,269,16474,1.5557400000000001,10589.1729980588,569.5039016802293,594.5723578489979,172.90806947176262
E05011238,Churchfields,Redbridge,568,771,219,15676,2.01609,7775.446532644872,281.7334543596764,382.42340371709594,108.6261030013541
E05011239,Clayhall,Redbridge,639,910,148,14434,2.53321,5697.908977147572,252.24912265465557,359.22801504810104,58.42389695287797
E05011240,Clementswood,Redbridge,940,834,234,13526,0.8995000000000001,15037.242912729293,1045.0250138966092,927.1817676486936,260.1445247359644
E05011241,Cranbrook,Redbridge,657,802,210,13225,1.4909000000000001,8870.48091756657,440.67341874035816,537.9301093299349,140.85451740559392
E05011242,Fairlop,Redbridge,794,922,216,14666,2.87069,5108.876263198046,276.58855536473806,321.1771385973407,75.2432342050169
E05011243,Fullwell,Redbridge,815,868,230,15445,2.76981,5576.194757041097,294.24400951689825,313.37889602535915,83.03818673483018
E05011244,Goodmayes,Redbridge,1159,1775,399,15234,1.8149899999999999,8393.43467457121,638.5710114105312,977.9668207538334,219.83592196100255
E05011245,Hainault,Redbridge,857,766,276,15682,5.6528,2774.2003962637987,151.60628361166147,135.5080667987546,48.82536088310218
E05011246,Ilford Town,Redbridge,1802,3568,737,12266,1.06244,11545.122548096833,1696.0957795263732,3358.307292647114,693.6862316930838
E05011247,Loxford,Redbridge,1210,1291,286,15053,1.09143,13791.997654453333,1108.637292359565,1182.8518549059493,262.04154183044267
E05011248,Mayfield,Redbridge,693,777,205,16255,1.8618299999999999,8730.657471412536,372.2144341857205,417.3313352991412,110.10672295537188
E05011249,Monkhams,Redbridge,328,478,70,9502,2.79546,3399.082798537629,117.33310439069062,170.99153627667718,25.04060154679373
E05011250,Newbury,Redbridge,729,597,214,14436,1.74392,8277.902656085142,418.0237625579155,342.3322170741777,122.71205101151429
E05011251,Seven Kings,Redbridge,2323,947,406,15038,1.81636,8279.195754145654,1278.931489352331,521.3724151599903,223.523971018961
E05011252,South Woodford,Redbridge,427,1320,186,12875,2.04043,6309.944472488642,209.2696147380699,646.9224624221365,91.15725606857377
E05011253,Valentines,Redbridge,1301,1059,406,15297,1.80126,8492.388661270443,722.272187246705,587.9217880816761,225.39777711157745
E05011254,Wanstead Park,Redbridge,310,478,110,8141,4.74224,1716.6992813522725,65.3699517527582,100.79624818651102,23.195789331623875
E05011255,Wanstead Village,Redbridge,540,1156,196,12685,2.30213,5510.114546094269,234.56538075608242,502.1436669519098,85.13854560776325
E05011462,Addiscombe East,Croydon,711,774,216,11429,1.54055,7418.779007497322,461.5234818733569,502.4179676089708,140.20966537924767
E05011463,Addiscombe West,Croydon,1019,1564,364,16174,1.34305,12042.738542868843,758.720822009605,1164.5136070883436,271.0249059975429
E05011464,Bensham Manor,Croydon,1103,1010,327,16993,1.4414699999999998,11788.660187170044,765.1910896515363,700.6736179039453,226.8517554995942
E05011465,Broad Green,Croydon,2168,2411,732,20051,1.95215,10271.239402709833,1110.5703967420536,1235.0485362292857,374.97118561585944
E05011466,Coulsdon Town,Croydon,571,809,166,15498,4.52138,3427.714547328471,126.2888764049914,178.92767252476014,36.71445443647736
E05011467,Crystal Palace & Upper Norwood,Croydon,971,940,316,16285,2.5825599999999995,6305.758627098694,375.9835202279909,363.97992689424456,122.35920946657582
E05011468,Fairfield,Croydon,3502,4512,1578,15188,1.4674500000000001,10349.926743670992,2386.4526900405463,3074.7214555862206,1075.334764387202
E05011469,Kenley,Croydon,316,647,82,11013,5.19683,2119.1764979804993,60.80629922471968,124.49897341263808,15.778849798819664
E05011470,New Addington North,Croydon,766,449,186,10884,1.41477,7693.123263852074,541.430762597454,317.36607363741103,131.47013295447314
E05011471,New Addington South,Croydon,896,824,261,11434,2.48835,4595.0127594590795,360.07796330902005,331.14312697168805,104.88878172282838
E05011472,Norbury & Pollards Hill,Croydon,756,1485,202,12196,1.34046,9098.369216537607,563.9854975157782,1107.8286558345642,150.6945376960148
E05011473,Norbury Park,Croydon,649,647,165,10895,2.25926,4822.375468073617,287.26220089763905,286.3769552862442,73.03276294007773
E05011474,Old Coulsdon,Croydon,362,312,127,10104,6.93502,1456.953260408766,52.198840089862756,44.989055547064034,18.312852738708756
E05011475,Park Hill & Whitgift,Croydon,210,199,63,5769,1.98756,2902.5538851657307,105.6571877075409,100.12276358952685,31.697156312262273
E05011476,Purley & Woodcote,Croydon,945,1085,344,15237,5.09713,2989.329289227467,185.39844971582048,212.86488671075685,67.48895947327222
E05011477,Purley Oaks & Riddlesdown,Croydon,395,427,184,9782,2.45126,3990.6007522661816,161.14161696433672,174.19612770575134,75.06343676313406
E05011478,Sanderstead,Croydon,342,474,236,15908,7.53708,2110.631703524442,45.37566272349504,62.88907640624752,31.31186082673927
E05011479,Selhurst,Croydon,1249,1176,473,13081,1.30739,10005.430667207183,955.3384988412026,899.5020613588906,361.7895195771728
E05011480,Selsdon & Addington Village,Croydon,428,527,167,10032,5.21087,1925.2063475005134,82.1359964842723,101.13474333460631,32.04839115157354
E05011481,Selsdon Vale & Forestdale,Croydon,360,503,135,10009,4.90954,2038.683868549803,73.3266253050184,102.45359035673404,27.497484489381897
E05011482,Shirley North,Croydon,656,1044,195,15478,3.1090199999999997,4978.417636425626,210.99896430386426,335.7971322152962,62.72072871837428
E05011483,Shirley South,Croydon,461,507,163,10661,4.55058,2342.7782832078547,101.3057676164357,111.41436915733819,35.81960980798052
E05011484,South Croydon,Croydon,1108,1116,592,18045,3.94407,4575.223056385916,280.9280768343361,282.956438399927,150.0987558537247
E05011485,South Norwood,Croydon,1354,1260,459,16507,2.14118,7709.3004791750345,632.3615950083599,588.4605684715905,214.3677785146508
E05011486,Thornton Heath,Croydon,1378,1218,455,17865,1.7242199999999999,10361.206806556009,799.2019579867999,706.4063750565474,263.8874389579056
E05011487,Waddon,Croydon,1559,2265,543,18713,3.91981,4773.955880514617,397.72335904036163,577.8341297154709,138.52712248807978
E05011488,West Thornton,Croydon,1891,1693,674,18751,1.9711699999999999,9512.624481906685,959.3287235499729,858.8807662454279,341.9289051679967
E05011489,Woodside,Croydon,1120,1031,330,16709,2.15022,7770.83275199747,520.8769335230813,479.4858200556222,153.47266791305074
